,customer_id,age,gender,CityOfBirth,dateOfCustomer,depositAverage,ConsumerLoan,CarLoan,Mortgage,CreditCard,AddCreditCard,Overdraft,HGS,DepositAccount,CurrencyDepositAccount,BES,HouseInsurance,CarInsurance,LifeInsurance,HealthInsurance,ComplementaryHealthInsurance
50,51,72,F,Bitlis,1990-03-14,9595270,376395,602733,4963914,N,Y,N,N,Y,Y,N,N,Y,N,Y,Y
51,52,57,F,Çanakkale,2007-01-06,661401,323939,826918,7395785,Y,N,Y,Y,N,N,N,Y,Y,Y,N,N
52,53,71,M,Isparta,2019-04-22,8084065,845664,309478,5682698,Y,N,Y,Y,Y,N,N,Y,N,Y,N,Y
53,54,47,F,İçel (Mersin),2005-02-19,6232293,113609,707617,3922880,N,Y,N,Y,Y,N,N,N,Y,Y,Y,Y
54,55,37,F,Bolu,1984-03-06,9018535,142254,407524,7610879,N,N,Y,N,Y,N,N,N,Y,N,Y,N
55,56,46,M,Kahramanmaraş,1984-04-09,6162857,570913,945497,6017548,Y,N,N,Y,Y,N,Y,Y,Y,Y,N,Y
56,57,26,M,Artvin,2015-09-07,9298063,217220,614867,3623062,Y,N,Y,Y,N,Y,Y,N,Y,Y,Y,Y
57,58,18,F,Hakkari,2005-04-27,264762,182710,278258,879109,Y,N,Y,Y,N,N,N,Y,N,Y,Y,N
58,59,47,M,Antalya,2022-12-09,6738019,446980,719425,1811298,N,N,Y,Y,N,Y,Y,Y,N,N,N,N
59,60,47,F,Bingöl,2014-02-07,1919549,894217,686516,9249870,Y,N,N,Y,N,N,N,N,N,Y,N,N
60,61,38,F,Mardin,2021-01-02,7956894,70394,95656,1432176,Y,N,Y,N,Y,Y,N,Y,N,N,N,Y
61,62,79,F,Iğdır,1993-06-08,1738129,605991,532060,3569164,Y,N,Y,Y,N,N,Y,N,Y,N,Y,N
62,63,19,M,İstanbul,2010-03-20,5183902,966302,356331,5889195,Y,Y,Y,N,Y,Y,Y,Y,Y,N,N,N
63,64,39,M,Mardin,1993-05-26,5442241,814571,987137,9522639,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N
64,65,35,M,Van,1984-11-22,7212753,116276,297005,9951141,N,N,Y,Y,N,Y,Y,Y,N,Y,Y,N
65,66,36,F,Burdur,1980-05-01,7225192,184229,135461,6378822,Y,N,Y,N,Y,N,Y,N,Y,N,N,N
66,67,63,F,Kastamonu,1984-12-13,349914,340544,180222,7719145,N,Y,N,Y,Y,N,N,Y,N,N,N,Y
67,68,39,M,Aydın,2001-12-13,1913049,556379,534723,3253164,N,N,Y,Y,Y,Y,N,Y,Y,Y,Y,Y
68,69,78,F,Tekirdağ,2012-06-10,9721861,470711,714220,9470600,N,N,Y,N,Y,N,N,N,N,Y,N,Y
69,70,37,F,Sinop,1981-08-13,6186390,872097,301022,1287332,Y,N,N,Y,N,Y,N,N,Y,Y,N,Y
70,71,69,F,Balıkesir,2001-09-11,2895058,41043,259778,7344365,N,Y,N,N,N,N,N,N,Y,N,Y,N
71,72,24,F,Kars,1990-11-01,2522845,349555,85461,9776746,Y,N,N,N,Y,Y,N,N,N,Y,Y,N
72,73,50,F,Adıyaman,1995-08-04,3024309,997373,224597,5733317,N,Y,Y,Y,Y,Y,N,Y,Y,N,Y,N
73,74,27,M,Elazığ,2015-10-01,2777286,756215,458933,733037,N,N,Y,N,N,N,Y,Y,N,N,Y,N
74,75,61,F,Tekirdağ,2013-01-31,6406756,527335,553081,7023963,Y,Y,Y,N,Y,N,N,Y,Y,N,Y,Y
75,76,35,F,Van,1986-05-03,7339571,96168,992386,3725179,N,N,Y,N,Y,N,N,Y,N,Y,N,Y
76,77,19,F,Bingöl,2016-02-01,5625238,829822,153143,2308538,Y,N,N,Y,N,N,Y,Y,Y,N,Y,Y
77,78,53,F,Bolu,2013-05-17,3986941,315779,127767,801102,Y,N,N,Y,Y,N,Y,Y,Y,N,N,Y
78,79,57,F,Hakkari,2004-07-15,3142605,696643,700674,1436363,N,Y,Y,N,N,Y,N,N,N,Y,N,Y
79,80,40,M,Osmaniye,1984-06-16,9762717,770899,793435,5578736,Y,Y,N,N,Y,N,N,Y,Y,Y,N,Y
80,81,36,M,Amasya,2014-01-07,703065,330926,978710,5202210,N,N,N,Y,Y,N,N,Y,N,N,Y,N
81,82,45,F,Siirt,2018-06-21,6486822,355505,195892,8324908,N,N,N,Y,N,Y,N,Y,N,N,Y,Y
82,83,38,F,Kırklareli,1999-03-05,7149041,174739,723270,7447546,N,N,Y,N,N,N,Y,Y,N,N,Y,Y
83,84,27,F,Ağrı,1985-06-05,3959345,816332,676502,6145971,N,N,Y,Y,N,N,N,N,Y,Y,N,N
84,85,38,F,Hatay,2021-04-20,434753,771411,195085,8372568,N,Y,N,N,N,Y,N,N,Y,Y,Y,Y
85,86,46,M,Siirt,2022-11-19,5361793,700280,364301,1089496,N,N,Y,Y,N,Y,Y,Y,Y,Y,N,Y
86,87,41,F,Tekirdağ,2014-07-23,9255099,136074,641674,1446455,Y,N,N,N,N,N,Y,Y,N,Y,N,N
87,88,61,F,Bursa,2017-10-02,9249336,670872,616338,3052834,Y,N,Y,Y,Y,N,Y,Y,N,Y,N,N
88,89,72,M,Isparta,1988-06-10,9241585,287782,131250,5080553,Y,Y,Y,Y,N,Y,Y,Y,Y,N,Y,N
89,90,57,M,Şanlıurfa,2018-03-24,9153271,303742,673088,5068298,N,Y,N,N,N,Y,Y,Y,N,N,N,N
90,91,31,F,Yalova,1986-03-06,5357240,769864,902590,5794356,N,Y,N,Y,N,Y,N,Y,N,N,Y,Y
91,92,24,M,Kastamonu,2020-08-26,7015136,260330,907340,2679315,N,N,Y,Y,N,N,N,N,N,Y,Y,N
92,93,50,F,Hakkari,1989-04-02,5920597,51021,52995,4720376,N,N,N,Y,Y,N,Y,N,N,N,N,Y
93,94,43,M,Batman,2004-02-27,6082139,580096,302620,1233658,N,N,N,Y,Y,Y,N,N,N,N,Y,Y
94,95,56,F,Uşak,1981-09-24,652868,143693,748255,5587495,N,N,Y,Y,N,N,Y,N,N,N,N,N
95,96,48,M,Mardin,1994-03-30,1838859,436774,612056,5161977,Y,N,N,Y,Y,N,Y,N,Y,Y,Y,Y
96,97,30,M,Siirt,1993-06-27,2540594,433020,724042,3420734,N,N,Y,Y,Y,N,N,N,N,Y,N,N
97,98,52,F,İçel (Mersin),2006-03-26,3225657,258494,292559,9363140,N,Y,N,N,Y,N,N,N,N,N,N,Y
98,99,54,F,Nevşehir,2015-03-11,2457461,304561,44109,4825636,Y,N,N,N,N,Y,Y,N,N,Y,Y,Y
99,100,33,M,Zonguldak,1989-09-14,3906349,55040,105065,6934046,N,N,Y,Y,Y,Y,N,N,N,Y,N,N
100,101,36,M,Bilecik,2008-01-19,3896008,561147,774568,625760,Y,N,Y,Y,N,N,Y,N,Y,Y,N,Y
101,102,77,F,Kars,1999-07-16,9115069,549787,517904,2251501,N,N,Y,Y,N,Y,N,N,Y,Y,N,N
102,103,54,M,Edirne,2006-04-09,6802999,867161,448479,8644974,N,Y,N,Y,Y,Y,N,N,Y,Y,N,N
103,104,33,F,İstanbul,2021-01-09,5065810,610754,757997,9611287,Y,N,N,Y,Y,Y,N,N,Y,N,N,Y
104,105,58,F,Mardin,2006-06-06,3676367,140057,501410,2570027,N,N,N,N,Y,Y,Y,N,N,Y,Y,Y
105,106,71,M,Şırnak,2003-01-28,2760475,344056,895993,8729882,N,Y,Y,N,Y,N,Y,N,Y,N,N,Y
106,107,53,F,Kırklareli,2011-02-06,6642917,266817,856113,50591,Y,Y,Y,N,N,Y,Y,Y,N,Y,N,N
107,108,29,M,Rize,1996-02-07,6416943,470325,911862,6333337,N,Y,Y,N,Y,Y,N,Y,Y,Y,Y,N
108,109,47,F,Aksaray,1996-04-22,3853123,259535,483000,5807596,Y,N,Y,Y,Y,N,Y,Y,Y,Y,Y,Y
109,110,46,M,Hatay,2011-11-04,6748892,460285,245722,9055666,Y,Y,Y,N,Y,N,N,Y,N,Y,Y,N
110,111,37,F,Antalya,2003-12-09,9926527,922446,770925,2938247,N,N,Y,N,N,N,N,N,Y,N,N,Y
111,112,66,F,Hakkari,2016-07-09,5045519,899197,741948,2421820,N,Y,N,N,Y,N,Y,N,Y,N,Y,N
112,113,72,F,Bilecik,2003-01-12,3195751,54040,281502,6327828,Y,Y,Y,Y,N,Y,N,N,Y,Y,Y,Y
113,114,65,F,Hatay,2009-11-29,3431161,415898,959579,4015307,N,N,N,N,N,N,N,N,N,N,Y,N
114,115,66,F,Eskişehir,1995-12-10,6944595,47936,589849,3712363,Y,Y,N,N,N,Y,Y,N,Y,N,Y,N
115,116,53,F,Isparta,2012-10-28,8197701,758705,672865,8230828,N,Y,N,Y,Y,N,Y,Y,Y,Y,Y,Y
116,117,44,M,Osmaniye,1989-12-13,2533857,9585,229344,8484790,N,N,Y,N,N,Y,Y,N,Y,Y,N,N
117,118,19,F,Edirne,1984-08-07,1615878,549857,156130,4042786,Y,N,N,N,N,Y,N,N,N,Y,Y,N
118,119,61,M,Ağrı,1984-01-08,6362994,395490,579549,7986040,Y,Y,Y,Y,N,N,N,Y,Y,Y,Y,N
119,120,35,M,Aydın,2009-06-06,4703878,942996,569408,9454126,Y,Y,N,Y,Y,Y,N,Y,N,Y,Y,N
120,121,61,F,Muş,2012-06-28,2347981,828897,722794,1315798,N,Y,Y,N,Y,Y,N,N,N,Y,N,N
121,122,49,M,Manisa,2003-10-13,6298619,452825,194760,9829353,N,Y,N,Y,Y,Y,N,Y,N,Y,N,N
122,123,41,M,Bilecik,1980-03-22,5171869,466339,377400,4525929,Y,Y,Y,Y,N,N,N,Y,Y,Y,N,Y
123,124,56,F,Muş,1980-07-12,6942580,406637,817018,1421022,Y,Y,N,Y,Y,N,N,N,N,Y,Y,Y
124,125,45,F,Rize,1992-11-20,1290526,378666,263926,4137094,N,Y,N,Y,Y,N,Y,N,N,N,N,N
125,126,39,F,Iğdır,1985-11-07,5379868,632512,993293,3369728,N,N,Y,N,N,N,N,Y,N,N,N,N
126,127,41,M,Batman,1988-08-04,9154137,188667,714827,9229132,Y,N,Y,N,N,Y,N,N,Y,N,Y,N
127,128,60,M,Sakarya,2013-12-06,1240929,470880,626979,8040224,N,N,Y,N,Y,Y,Y,N,Y,Y,N,N
128,129,79,F,Bitlis,1980-06-14,4340909,232785,535482,8703982,Y,N,N,N,N,Y,N,Y,N,Y,N,N
129,130,76,M,Bolu,2015-09-30,2376915,365249,327040,5755703,N,Y,N,N,N,Y,N,N,N,Y,N,Y
130,131,69,M,Adıyaman,2016-07-07,1834801,710032,838913,2757404,Y,Y,Y,N,N,N,Y,N,Y,Y,N,N
131,132,19,M,Sinop,2005-06-19,6523581,4666,738968,3603680,Y,N,Y,Y,Y,N,N,Y,N,Y,N,N
132,133,51,F,Iğdır,1996-09-16,6585795,615519,119781,5837206,N,N,Y,N,Y,Y,N,Y,Y,N,Y,Y
133,134,41,M,Van,1996-09-14,2313029,602727,402349,7097413,Y,N,Y,Y,N,N,Y,Y,N,N,Y,N
134,135,78,M,Tunceli,1985-11-14,6441514,588861,529990,8304216,N,N,N,N,N,Y,Y,Y,Y,N,Y,N
135,136,32,F,Diyarbakır,2013-07-28,9490039,778586,810074,8309978,Y,Y,N,N,Y,N,Y,N,Y,Y,N,Y
136,137,46,F,Malatya,2017-01-27,1459332,460398,907322,1969410,Y,Y,N,N,Y,Y,Y,Y,Y,N,N,Y
137,138,38,F,Kastamonu,2004-08-17,8630451,943881,712296,1597613,Y,N,Y,N,Y,Y,Y,Y,N,Y,N,N
138,139,27,F,Osmaniye,1997-10-23,7583162,79184,664406,1561871,N,N,N,N,N,N,Y,Y,N,N,Y,N
139,140,31,F,Gaziantep,2001-04-09,5416778,868581,297368,5666591,Y,N,N,Y,Y,Y,N,Y,Y,Y,N,N
140,141,18,F,Erzurum,2022-10-25,2213134,924998,681571,5064462,Y,N,Y,N,N,Y,N,Y,Y,N,N,Y
141,142,45,M,Bingöl,1980-01-18,7999489,81724,139145,9960289,Y,N,Y,Y,N,Y,N,Y,N,Y,Y,N
142,143,23,M,Bitlis,1993-06-22,5020671,143790,401312,2233823,Y,Y,Y,Y,N,N,Y,Y,N,N,Y,Y
143,144,75,M,Çanakkale,2012-05-09,9891408,765470,402686,5897789,N,N,Y,Y,N,Y,Y,N,Y,N,Y,Y
144,145,65,F,Kastamonu,2007-10-14,4015476,518927,404630,1891524,Y,N,Y,Y,N,N,Y,N,N,N,Y,N
145,146,79,M,Adıyaman,2005-04-04,231415,274921,226222,668183,Y,N,N,N,N,N,Y,Y,N,Y,N,Y
146,147,50,M,Çorum,2003-01-24,6555386,614923,665105,1109227,N,N,Y,Y,Y,Y,N,Y,N,Y,N,Y
147,148,25,M,Çanakkale,2010-03-01,2748655,520526,999309,5816746,N,Y,N,Y,N,Y,Y,N,N,N,Y,N
148,149,63,M,Şanlıurfa,1999-07-29,6041876,58132,523879,9510771,Y,N,Y,N,Y,Y,Y,Y,Y,Y,Y,Y
149,150,48,F,Muş,2019-07-28,3002466,976392,899138,593302,N,Y,N,Y,N,N,N,Y,N,Y,Y,Y
150,151,32,M,Niğde,1982-12-18,7802985,908100,296020,5212643,N,Y,N,Y,N,Y,N,N,Y,N,N,N
151,152,67,M,Bayburt,2012-09-13,4112546,157880,6687,6879264,Y,Y,N,Y,N,Y,N,N,Y,Y,Y,N
152,153,49,M,Çankırı,2010-08-08,1560728,46032,966026,3883465,N,N,N,Y,Y,Y,N,Y,Y,N,Y,Y
153,154,36,F,Kırşehir,2019-10-27,6592651,734764,872310,5473593,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,N
154,155,47,F,Ordu,1985-03-11,6011065,807756,217722,7581910,N,N,N,Y,Y,Y,N,Y,Y,N,Y,Y
155,156,63,M,Manisa,1997-01-14,821255,710078,313357,4364874,Y,Y,N,N,Y,Y,N,Y,Y,Y,Y,Y
156,157,71,M,Bursa,1988-07-08,6720647,390321,719622,1409947,N,Y,Y,Y,Y,N,Y,Y,N,Y,Y,N
157,158,21,M,Şırnak,1998-08-17,6626978,520226,30914,6421134,N,Y,N,Y,Y,N,N,N,Y,Y,Y,N
158,159,49,F,Karaman,2000-08-06,1471723,293366,401620,2302438,N,Y,Y,Y,N,N,N,N,N,N,N,N
159,160,29,M,Kırşehir,2005-09-04,491630,939277,850069,4713268,Y,N,N,Y,Y,Y,Y,Y,N,Y,Y,N
160,161,40,M,Edirne,1990-03-04,5335227,845372,773959,6019382,Y,N,Y,Y,N,N,Y,N,Y,Y,Y,Y
161,162,56,M,Adıyaman,2002-08-21,11467,347848,962483,3380011,Y,N,Y,N,Y,Y,Y,Y,Y,N,Y,N
162,163,63,F,Ardahan,1984-05-05,5062779,338273,143079,2642476,N,N,N,Y,N,Y,Y,N,N,N,Y,Y
163,164,64,M,Şırnak,1996-11-02,9520780,33955,190926,5338793,Y,Y,N,Y,N,Y,Y,N,N,Y,Y,N
164,165,46,M,İçel (Mersin),1989-01-06,1137407,367506,269125,1812519,Y,Y,N,N,N,Y,N,N,N,N,N,Y
165,166,71,F,Şırnak,2007-12-29,3784650,170557,473209,1236638,Y,N,Y,N,N,Y,Y,N,Y,N,Y,Y
166,167,53,M,Kütahya,2005-07-17,8098979,738726,32498,7236404,Y,N,Y,Y,Y,N,Y,Y,N,N,N,N
167,168,33,M,Ankara,1996-11-22,9221808,880651,514796,2576811,Y,N,Y,N,Y,N,N,Y,Y,Y,Y,Y
168,169,58,F,Balıkesir,2000-05-12,1937918,323331,823002,6668395,N,N,N,Y,N,Y,N,N,N,Y,N,Y
169,170,34,F,Tekirdağ,1991-04-29,4505722,591655,64633,2535551,Y,Y,N,N,Y,Y,N,N,N,Y,N,N
170,171,23,F,Ağrı,2001-08-04,8670757,839333,599245,2473761,Y,N,Y,Y,Y,Y,Y,Y,N,Y,N,Y
171,172,70,M,Iğdır,1991-02-02,1124274,91254,406951,9334242,N,N,N,N,Y,N,Y,N,Y,Y,Y,Y
172,173,54,M,Kars,2017-04-20,5769167,920538,430849,4431477,N,N,N,Y,Y,N,N,Y,N,Y,N,N
173,174,62,M,Ankara,2012-01-25,4506097,940605,390532,339451,N,N,N,N,N,Y,Y,Y,N,N,N,N
174,175,64,F,Yalova,2007-10-05,3153037,463173,221659,6831185,N,N,Y,Y,Y,N,N,Y,Y,Y,Y,Y
175,176,71,M,Hatay,1981-06-03,848243,962625,377880,3340507,N,N,N,N,Y,Y,Y,N,N,N,Y,N
176,177,55,F,Malatya,1987-01-12,4339593,785342,871230,1516524,N,Y,N,Y,Y,Y,Y,Y,Y,N,N,Y
177,178,73,M,Tokat,2019-03-13,2905824,630343,839767,141997,Y,N,N,N,N,N,N,N,N,Y,N,N
178,179,61,F,Bartın,1984-05-25,8581776,694530,884247,6278533,N,N,Y,N,Y,N,N,N,N,N,N,Y
179,180,27,M,Antalya,2014-08-20,6779646,692616,335109,2347627,Y,N,N,N,N,N,N,Y,Y,N,Y,N
180,181,76,F,Uşak,1992-11-27,2851902,881473,689558,9365848,Y,N,Y,N,Y,N,Y,N,Y,Y,N,Y
181,182,65,F,Rize,2013-11-20,5558579,389737,273216,9824246,N,N,Y,N,Y,Y,N,Y,Y,N,N,N
182,183,21,M,Çanakkale,2022-09-02,5749046,429068,597062,7676774,Y,N,Y,Y,N,N,Y,N,Y,Y,N,N
183,184,31,M,Şırnak,2012-11-14,8213740,823353,800660,1477088,Y,N,N,N,N,N,N,Y,Y,Y,N,Y
184,185,75,F,Zonguldak,1988-03-12,69186,657128,769238,4174559,Y,N,N,Y,Y,N,N,Y,Y,Y,N,N
185,186,47,F,Samsun,2018-03-08,2244614,359381,945169,8223833,N,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y
186,187,41,M,Muğla,2017-09-10,4291430,808713,560708,815153,Y,Y,Y,Y,Y,N,N,N,Y,N,N,Y
187,188,31,M,Kayseri,1998-02-05,1694160,694663,545583,4529464,Y,N,Y,Y,N,Y,Y,N,Y,Y,N,Y
188,189,40,F,Kastamonu,1986-11-23,9196242,520465,954578,3484526,N,N,Y,Y,Y,Y,Y,N,Y,Y,Y,Y
189,190,75,F,Gümüşhane,1999-08-22,4966428,276955,486830,840206,Y,Y,Y,N,N,N,N,Y,Y,Y,Y,Y
190,191,60,M,Konya,1995-05-17,7343630,652011,281342,1559464,N,N,Y,Y,N,N,N,N,N,N,N,Y
191,192,25,M,Antalya,2022-03-17,2674211,108751,436236,9911145,N,N,Y,N,N,Y,Y,N,N,Y,N,N
192,193,20,M,İçel (Mersin),2008-03-01,207369,738793,910512,8804983,Y,N,Y,N,Y,N,N,N,Y,Y,Y,Y
193,194,50,F,Şanlıurfa,2017-05-21,1256030,787931,515530,5379342,Y,N,N,Y,Y,N,N,Y,Y,N,N,N
194,195,23,F,Sinop,1993-08-04,8344540,781439,685111,298116,Y,N,N,Y,Y,Y,N,Y,N,N,N,Y
195,196,70,M,Sivas,1994-04-10,7937865,751470,689089,6095071,N,Y,Y,Y,Y,N,N,N,N,Y,Y,Y
196,197,49,M,Ordu,1984-08-06,3287016,196653,126611,6591709,Y,N,Y,N,Y,N,Y,Y,N,N,Y,N
197,198,18,M,Karaman,2020-03-20,9816696,506390,969273,8528410,Y,Y,Y,Y,N,N,N,N,Y,N,N,N
198,199,80,F,Sinop,2014-08-10,2318275,432794,631792,8594877,N,N,Y,Y,Y,N,N,Y,Y,N,Y,N
199,200,53,F,Bartın,2004-07-15,7004117,706995,784197,8957402,N,N,Y,Y,Y,N,Y,Y,Y,Y,N,Y
200,201,80,F,Isparta,1986-04-18,1040738,724141,822458,4951637,Y,Y,N,N,Y,Y,N,Y,N,Y,N,N
201,202,44,F,Karaman,1982-04-25,4216804,212952,650706,7433377,Y,N,Y,Y,N,N,Y,Y,Y,Y,Y,N
202,203,20,F,İzmir,2003-12-07,2182154,168746,612353,4278461,Y,N,N,Y,Y,Y,N,Y,N,N,N,Y
203,204,68,F,Zonguldak,1989-06-16,3084811,545895,71488,8474848,Y,N,N,Y,N,Y,Y,N,N,N,N,Y
204,205,78,F,Kırıkkale,2015-06-02,147701,120294,701432,5805039,N,Y,Y,Y,N,N,Y,N,N,N,Y,N
205,206,50,F,Tunceli,1981-11-19,3229821,335872,538857,1381527,Y,Y,Y,Y,Y,Y,N,Y,Y,N,Y,Y
206,207,19,F,Konya,1981-08-18,1228898,56904,186638,4226314,Y,Y,N,N,N,N,N,N,N,Y,N,Y
207,208,52,M,Kilis,1982-09-20,9824872,47727,734928,1217848,N,Y,N,N,Y,N,N,N,N,Y,N,Y
208,209,52,M,Çanakkale,2012-02-10,9155737,309307,664845,2417186,N,N,Y,Y,Y,Y,Y,N,Y,N,Y,N
209,210,31,F,Van,1986-02-15,3086885,231512,646850,4240303,Y,Y,Y,Y,N,Y,N,Y,N,Y,Y,N
210,211,78,F,Manisa,1985-07-06,3934808,104904,298987,1171198,Y,N,N,N,N,N,Y,N,N,N,Y,Y
211,212,38,M,Giresun,2010-08-16,7316947,290119,880919,6031174,Y,N,N,N,N,N,N,N,Y,Y,Y,N
